area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,Ready To Move,Kolkata,2 RK,Green Heights,891.14,2,1,75.55
Carpet Area,Ready To Move,Kolkata,2 BHK,Skyline View,4995.41,1,0,33.06
Super built-up Area,Immediate Possession,Kolkata,2 BHK,Sunrise Residency,3302.66,2,1,361.78
Super built-up Area,Immediate Possession,Chennai,1 RK,Dream Homes,3656.63,4,1,45.58
Super built-up Area,Ready To Move,Hyderabad,1 RK,Luxury Enclave,2786.18,1,2,412.05
Super built-up Area,Immediate Possession,Delhi,3 BHK,Skyline View,3503.76,2,1,456.86
Built-up Area,Under Construction,Hyderabad,2 BHK,Luxury Enclave,2723.22,2,1,279.05
Built-up Area,Ready To Move,Chennai,2 BHK,Skyline View,2619.75,4,3,442.78
Carpet Area,Under Construction,Chennai,4 BHK,Sunrise Residency,1533.65,3,3,464.93
Carpet Area,Under Construction,Bangalore,2 RK,Palm Meadows,1232.14,1,1,290.08
Plot Area,Ready To Move,Pune,1 RK,Luxury Enclave,4609.45,4,1,218.36
Built-up Area,Under Construction,Delhi,2 RK,Green Heights,4069.05,1,3,209.25
Super built-up Area,Immediate Possession,Mumbai,2 RK,Luxury Enclave,4705.53,4,3,189.09
Plot Area,Ready To Move,Kolkata,4 BHK,Luxury Enclave,2656.55,2,0,184.69
Carpet Area,Under Construction,Mumbai,3 BHK,Green Heights,2492.02,2,3,432.05
Plot Area,Immediate Possession,Mumbai,2 RK,Sunrise Residency,1977.45,1,0,139.16
Built-up Area,Immediate Possession,Delhi,4 BHK,Palm Meadows,2043.77,1,0,356.47
Plot Area,Under Construction,Kolkata,1 RK,Luxury Enclave,1441.78,3,0,122.63
Plot Area,Under Construction,Chennai,1 BHK,Palm Meadows,4633.63,2,3,26.31
Carpet Area,Ready To Move,Pune,2 RK,Skyline View,4984.83,1,2,209.79
Carpet Area,Ready To Move,Chennai,1 RK,Green Heights,4832.78,2,3,26.41
Plot Area,Ready To Move,Delhi,2 RK,Skyline View,4759.68,2,1,413.89
Carpet Area,Ready To Move,Chennai,2 RK,Skyline View,431.35,4,1,489.87
Carpet Area,Under Construction,Chennai,3 BHK,Oceanic Towers,4675.92,4,0,474.73
Plot Area,Immediate Possession,Delhi,2 BHK,Palm Meadows,750.79,2,1,456.79
Super built-up Area,Ready To Move,Hyderabad,1 BHK,Sunrise Residency,4873.13,3,3,235.03
Super built-up Area,Immediate Possession,Mumbai,3 BHK,Palm Meadows,3487.02,3,3,270.52
Built-up Area,Ready To Move,Ahmedabad,2 RK,Palm Meadows,789.61,4,2,317.88
Built-up Area,Under Construction,Hyderabad,1 BHK,Sunrise Residency,2347.33,4,3,244.69
Carpet Area,Ready To Move,Delhi,2 BHK,Luxury Enclave,4789.44,1,0,75.01
Plot Area,Immediate Possession,Ahmedabad,2 RK,Sunrise Residency,2420.34,1,2,383.04
Plot Area,Ready To Move,Delhi,3 BHK,Luxury Enclave,4580.32,1,3,129.21
Super built-up Area,Under Construction,Mumbai,4 BHK,Luxury Enclave,3867.22,2,3,19.75
Carpet Area,Under Construction,Bangalore,2 BHK,Green Heights,866.81,4,2,252.47
Carpet Area,Under Construction,Kolkata,1 BHK,Skyline View,916.71,4,2,454.06
Plot Area,Ready To Move,Kolkata,4 BHK,Green Heights,1425.56,4,3,71.59
Plot Area,Immediate Possession,Pune,2 BHK,Luxury Enclave,2591.78,1,3,330.94
Plot Area,Under Construction,Chennai,1 RK,Palm Meadows,3410.28,3,3,400.67
Built-up Area,Under Construction,Hyderabad,1 BHK,Sunrise Residency,4534.37,1,1,172.4
Carpet Area,Ready To Move,Chennai,1 BHK,Dream Homes,3201.64,2,0,84.87
Built-up Area,Ready To Move,Pune,2 BHK,Green Heights,3295.93,1,3,346.86
Carpet Area,Immediate Possession,Ahmedabad,1 RK,Green Heights,4484.82,1,1,462.47
Super built-up Area,Immediate Possession,Delhi,4 BHK,Oceanic Towers,1707.05,1,2,71.4
Built-up Area,Under Construction,Mumbai,3 BHK,Sunrise Residency,1962.68,1,1,238.03
Built-up Area,Immediate Possession,Bangalore,3 BHK,Sunrise Residency,2362.74,3,2,103.86
Plot Area,Under Construction,Kolkata,2 RK,Dream Homes,337.52,1,1,275.36
Built-up Area,Ready To Move,Kolkata,2 RK,Luxury Enclave,3343.45,1,2,120.67
Built-up Area,Under Construction,Ahmedabad,1 RK,Sunrise Residency,2832.93,1,3,210.55
Super built-up Area,Ready To Move,Ahmedabad,2 BHK,Green Heights,426.37,2,2,158.19
Plot Area,Under Construction,Pune,4 BHK,Green Heights,938.46,1,0,458.62
Super built-up Area,Under Construction,Mumbai,1 BHK,Luxury Enclave,2052.53,2,0,487.51
Carpet Area,Under Construction,Chennai,2 BHK,Oceanic Towers,2713.63,1,3,222.74
Plot Area,Ready To Move,Pune,4 BHK,Luxury Enclave,2378.54,2,1,396.64
Built-up Area,Ready To Move,Hyderabad,4 BHK,Green Heights,1884.66,2,1,122.02
Built-up Area,Ready To Move,Hyderabad,2 RK,Skyline View,3839.94,1,2,90.78
Super built-up Area,Immediate Possession,Ahmedabad,2 RK,Skyline View,4039.05,2,0,475.91
Carpet Area,Ready To Move,Pune,2 BHK,Luxury Enclave,1801.08,2,0,459.91
Plot Area,Under Construction,Mumbai,3 BHK,Green Heights,2572.89,4,3,422.01
Super built-up Area,Immediate Possession,Mumbai,3 BHK,Sunrise Residency,390.15,2,3,248.65
Super built-up Area,Ready To Move,Hyderabad,1 RK,Green Heights,2998.86,3,0,68.04
Super built-up Area,Immediate Possession,Bangalore,1 RK,Skyline View,4948.51,1,0,415.04
Plot Area,Immediate Possession,Mumbai,1 RK,Skyline View,2554.87,2,3,146.12
Carpet Area,Immediate Possession,Hyderabad,3 BHK,Luxury Enclave,2851.83,1,2,163.18
Super built-up Area,Immediate Possession,Mumbai,1 BHK,Luxury Enclave,1886.14,3,2,317.43
Carpet Area,Immediate Possession,Chennai,1 RK,Oceanic Towers,2770.08,1,3,25.91
Carpet Area,Under Construction,Mumbai,2 RK,Sunrise Residency,2673.08,4,0,319.88
Built-up Area,Ready To Move,Pune,2 RK,Green Heights,1198.4,3,0,123.6
Built-up Area,Immediate Possession,Bangalore,2 BHK,Dream Homes,2747.81,1,2,338.91
Plot Area,Under Construction,Mumbai,4 BHK,Palm Meadows,993.87,3,1,236.61
Super built-up Area,Ready To Move,Hyderabad,2 BHK,Oceanic Towers,1847.39,1,1,174.14
Built-up Area,Immediate Possession,Delhi,2 BHK,Oceanic Towers,2981.6,1,2,40.82
Plot Area,Under Construction,Ahmedabad,1 BHK,Palm Meadows,2707.92,2,0,31.39
Super built-up Area,Immediate Possession,Bangalore,2 RK,Oceanic Towers,2239.35,1,3,195.01
Carpet Area,Ready To Move,Mumbai,1 BHK,Sunrise Residency,2022.02,3,2,468.07
Built-up Area,Ready To Move,Chennai,1 RK,Dream Homes,2927.82,2,2,344.05
Carpet Area,Immediate Possession,Pune,2 BHK,Oceanic Towers,4135.37,2,2,194.14
Super built-up Area,Immediate Possession,Kolkata,1 RK,Sunrise Residency,2483.88,3,1,104.42
Plot Area,Immediate Possession,Delhi,1 RK,Dream Homes,4794.32,2,3,106.71
Plot Area,Immediate Possession,Hyderabad,1 RK,Green Heights,3676.87,2,2,223.51
Super built-up Area,Ready To Move,Pune,3 BHK,Sunrise Residency,4422.98,3,3,71.96
Super built-up Area,Under Construction,Mumbai,2 BHK,Palm Meadows,2350.47,2,1,448.82
Carpet Area,Under Construction,Mumbai,2 RK,Dream Homes,3136.68,4,1,296.18
Carpet Area,Under Construction,Pune,2 BHK,Oceanic Towers,4539.44,2,0,348.24
Carpet Area,Ready To Move,Bangalore,2 RK,Skyline View,3898.98,4,0,293.6
Carpet Area,Immediate Possession,Chennai,1 RK,Skyline View,4687.76,4,0,317.2
Plot Area,Immediate Possession,Pune,1 RK,Dream Homes,4185.78,3,1,96.45
Plot Area,Under Construction,Mumbai,1 BHK,Oceanic Towers,1918.14,4,0,153.18
Carpet Area,Immediate Possession,Mumbai,1 BHK,Luxury Enclave,3229.68,3,1,162.34
Carpet Area,Under Construction,Pune,1 RK,Skyline View,1877.41,3,0,443.91
Plot Area,Under Construction,Pune,1 BHK,Sunrise Residency,4824.36,4,0,495.56
Carpet Area,Immediate Possession,Chennai,2 BHK,Sunrise Residency,2311.83,3,0,179.99
Plot Area,Ready To Move,Delhi,1 BHK,Oceanic Towers,3031.63,2,3,417.54
Plot Area,Under Construction,Ahmedabad,1 RK,Dream Homes,4688.86,1,3,49.66
Built-up Area,Immediate Possession,Delhi,1 RK,Oceanic Towers,1806.61,1,2,95.41
Carpet Area,Ready To Move,Hyderabad,3 BHK,Sunrise Residency,1767.26,1,1,359.35
Built-up Area,Immediate Possession,Mumbai,4 BHK,Skyline View,4999.85,3,1,320.27
Carpet Area,Immediate Possession,Mumbai,2 BHK,Palm Meadows,2881.08,3,2,387.7
Carpet Area,Under Construction,Hyderabad,4 BHK,Skyline View,3980.92,1,2,184.35
Super built-up Area,Under Construction,Chennai,4 BHK,Oceanic Towers,646.37,4,1,70.02
Carpet Area,Immediate Possession,Chennai,1 BHK,Skyline View,2205.57,2,0,47.76
Carpet Area,Immediate Possession,Chennai,4 BHK,Skyline View,343.09,3,1,209.14
Plot Area,Under Construction,Hyderabad,1 RK,Sunrise Residency,4189.11,2,0,431.84
Plot Area,Under Construction,Delhi,1 RK,Luxury Enclave,2744.53,4,1,252.09
Super built-up Area,Ready To Move,Pune,1 RK,Oceanic Towers,2644.76,2,2,424.05
Plot Area,Ready To Move,Kolkata,4 BHK,Green Heights,923.6,3,1,214.84
Built-up Area,Ready To Move,Chennai,3 BHK,Palm Meadows,3398.83,4,0,346.26
Plot Area,Ready To Move,Pune,4 BHK,Green Heights,1461.65,1,1,100.99
Super built-up Area,Ready To Move,Ahmedabad,2 RK,Palm Meadows,1740.04,3,3,33.1
Super built-up Area,Immediate Possession,Hyderabad,1 RK,Oceanic Towers,3712.88,1,0,478.13
Carpet Area,Ready To Move,Ahmedabad,1 BHK,Dream Homes,4426.29,2,3,289.45
Built-up Area,Under Construction,Bangalore,1 BHK,Sunrise Residency,2439.83,3,3,393.93
Plot Area,Under Construction,Chennai,3 BHK,Luxury Enclave,808.24,2,1,406.22
Plot Area,Ready To Move,Kolkata,4 BHK,Skyline View,4304.43,3,3,60.59
Built-up Area,Ready To Move,Ahmedabad,1 BHK,Palm Meadows,4204.24,3,0,465.21
Plot Area,Under Construction,Kolkata,1 RK,Sunrise Residency,4667.72,4,1,371.89
Plot Area,Ready To Move,Mumbai,2 BHK,Luxury Enclave,4694.57,4,2,260.39
Super built-up Area,Under Construction,Kolkata,1 BHK,Oceanic Towers,1058.37,1,2,499.65
Super built-up Area,Ready To Move,Kolkata,1 RK,Palm Meadows,2331.46,1,1,11.63
Plot Area,Ready To Move,Hyderabad,2 BHK,Green Heights,1385.1,1,0,260.33
Built-up Area,Under Construction,Bangalore,2 BHK,Green Heights,3173.67,1,3,224.22
Built-up Area,Under Construction,Bangalore,2 BHK,Luxury Enclave,2599.38,2,1,243.64
Super built-up Area,Ready To Move,Chennai,2 BHK,Sunrise Residency,2324.3,3,0,105.33
Plot Area,Under Construction,Mumbai,4 BHK,Luxury Enclave,2409.87,4,2,245.27
Plot Area,Immediate Possession,Ahmedabad,1 BHK,Dream Homes,4017.78,3,0,407.17
Super built-up Area,Ready To Move,Delhi,3 BHK,Green Heights,4601.21,3,1,294.26
Built-up Area,Immediate Possession,Hyderabad,4 BHK,Green Heights,3493.04,3,0,453.81
Built-up Area,Immediate Possession,Delhi,4 BHK,Sunrise Residency,375.06,2,2,136.04
Built-up Area,Immediate Possession,Chennai,3 BHK,Dream Homes,2114.55,4,2,206.25
Carpet Area,Ready To Move,Mumbai,4 BHK,Green Heights,2623.71,1,0,255.35
Super built-up Area,Under Construction,Bangalore,3 BHK,Sunrise Residency,2717.65,4,0,243.72
Carpet Area,Under Construction,Hyderabad,1 RK,Green Heights,672.52,4,3,104.46
Carpet Area,Ready To Move,Pune,1 RK,Luxury Enclave,1790.72,2,0,274.18
Plot Area,Ready To Move,Hyderabad,1 BHK,Palm Meadows,431.78,3,2,104.87
Super built-up Area,Under Construction,Bangalore,2 RK,Luxury Enclave,3182.44,4,3,36.11
Super built-up Area,Under Construction,Ahmedabad,2 BHK,Dream Homes,4423.27,3,2,86.91
Plot Area,Immediate Possession,Delhi,1 RK,Palm Meadows,3336.74,4,1,156.2
Super built-up Area,Ready To Move,Pune,1 RK,Luxury Enclave,1320.67,3,1,220.43
Built-up Area,Under Construction,Pune,4 BHK,Skyline View,4337.54,1,0,259.37
Plot Area,Immediate Possession,Mumbai,3 BHK,Skyline View,466.17,4,1,412.49
Built-up Area,Immediate Possession,Delhi,3 BHK,Oceanic Towers,1488.85,3,3,392.29
Plot Area,Under Construction,Hyderabad,3 BHK,Palm Meadows,3593.61,4,2,422.75
Carpet Area,Under Construction,Ahmedabad,2 RK,Skyline View,1455.28,2,0,98.34
Built-up Area,Immediate Possession,Pune,1 RK,Dream Homes,1153.85,3,3,192.62
Carpet Area,Ready To Move,Chennai,2 RK,Luxury Enclave,1724.91,3,1,175.69
Plot Area,Immediate Possession,Mumbai,4 BHK,Palm Meadows,1988.72,3,2,276.36
Built-up Area,Ready To Move,Pune,2 RK,Dream Homes,2091.31,3,1,116.56
Super built-up Area,Immediate Possession,Ahmedabad,4 BHK,Luxury Enclave,3957.96,3,1,359.36
Built-up Area,Ready To Move,Kolkata,1 BHK,Luxury Enclave,1411.07,4,2,278.07
Built-up Area,Under Construction,Hyderabad,3 BHK,Palm Meadows,2538.45,2,0,339.74
Carpet Area,Ready To Move,Ahmedabad,1 RK,Dream Homes,2060.56,3,0,497.95
Super built-up Area,Ready To Move,Hyderabad,2 RK,Skyline View,642.37,3,0,307.71
Super built-up Area,Ready To Move,Ahmedabad,2 BHK,Skyline View,422.42,3,1,374.77
Plot Area,Under Construction,Kolkata,1 BHK,Dream Homes,4366.89,1,3,477.07
Super built-up Area,Immediate Possession,Ahmedabad,1 BHK,Oceanic Towers,3958.9,4,3,139.95
Super built-up Area,Immediate Possession,Bangalore,1 BHK,Green Heights,649.53,4,0,180.81
Carpet Area,Ready To Move,Chennai,3 BHK,Palm Meadows,2972.06,4,1,109.87
Super built-up Area,Ready To Move,Kolkata,1 BHK,Skyline View,3313.0,3,0,219.33
Carpet Area,Ready To Move,Delhi,1 BHK,Green Heights,2730.4,4,2,233.22
Built-up Area,Under Construction,Pune,1 RK,Oceanic Towers,2380.05,2,2,444.01
Built-up Area,Ready To Move,Kolkata,3 BHK,Luxury Enclave,3773.08,4,1,233.51
Plot Area,Ready To Move,Ahmedabad,4 BHK,Palm Meadows,615.98,1,3,426.36
Super built-up Area,Ready To Move,Delhi,2 RK,Sunrise Residency,2881.54,4,3,309.31
Super built-up Area,Immediate Possession,Ahmedabad,3 BHK,Palm Meadows,2686.56,1,2,19.39
Built-up Area,Under Construction,Bangalore,2 BHK,Luxury Enclave,4498.14,4,2,246.87
Built-up Area,Under Construction,Pune,4 BHK,Sunrise Residency,734.15,1,1,355.03
Built-up Area,Ready To Move,Mumbai,2 RK,Palm Meadows,1146.23,1,3,129.35
Plot Area,Immediate Possession,Mumbai,1 RK,Oceanic Towers,4199.94,4,0,485.62
Plot Area,Immediate Possession,Pune,1 RK,Luxury Enclave,2694.36,3,3,133.89
Super built-up Area,Under Construction,Pune,1 RK,Palm Meadows,4688.64,3,0,70.88
Super built-up Area,Under Construction,Ahmedabad,3 BHK,Dream Homes,1168.46,1,3,17.42
Carpet Area,Ready To Move,Ahmedabad,4 BHK,Sunrise Residency,4743.58,4,3,478.61
Plot Area,Under Construction,Chennai,4 BHK,Luxury Enclave,938.97,1,3,125.7
Carpet Area,Immediate Possession,Bangalore,3 BHK,Luxury Enclave,2340.72,2,2,68.0
Plot Area,Immediate Possession,Delhi,1 BHK,Palm Meadows,1010.93,4,3,68.65
Carpet Area,Under Construction,Ahmedabad,1 BHK,Luxury Enclave,1437.12,4,2,275.79
Carpet Area,Ready To Move,Kolkata,1 RK,Palm Meadows,1623.07,4,2,397.16
Built-up Area,Immediate Possession,Chennai,4 BHK,Palm Meadows,3506.09,4,2,460.91
Plot Area,Under Construction,Hyderabad,1 BHK,Palm Meadows,2066.24,4,2,41.86
Built-up Area,Under Construction,Bangalore,2 RK,Dream Homes,458.56,3,2,200.55
Plot Area,Ready To Move,Hyderabad,1 BHK,Luxury Enclave,530.61,2,2,311.32
Super built-up Area,Under Construction,Ahmedabad,2 BHK,Dream Homes,3258.57,1,3,298.91
Super built-up Area,Immediate Possession,Pune,2 BHK,Sunrise Residency,2964.44,3,2,53.61
Built-up Area,Ready To Move,Mumbai,2 BHK,Green Heights,692.09,3,3,304.17
Super built-up Area,Ready To Move,Hyderabad,4 BHK,Skyline View,4651.47,1,3,483.98
Plot Area,Ready To Move,Delhi,2 BHK,Oceanic Towers,2003.38,1,3,438.87
Super built-up Area,Ready To Move,Mumbai,1 RK,Dream Homes,2188.94,4,3,366.33
Super built-up Area,Immediate Possession,Mumbai,4 BHK,Oceanic Towers,4325.29,3,0,118.71
Plot Area,Under Construction,Chennai,2 RK,Luxury Enclave,2697.3,3,2,431.72
Carpet Area,Ready To Move,Mumbai,1 BHK,Palm Meadows,4328.75,2,3,116.85
Built-up Area,Under Construction,Pune,4 BHK,Sunrise Residency,2302.43,2,3,40.04
Carpet Area,Under Construction,Chennai,2 BHK,Green Heights,3707.08,4,2,241.86
Built-up Area,Under Construction,Mumbai,1 BHK,Oceanic Towers,2099.36,2,1,94.84
Carpet Area,Under Construction,Kolkata,4 BHK,Sunrise Residency,1413.21,1,1,484.03
Super built-up Area,Under Construction,Delhi,2 RK,Sunrise Residency,4590.53,4,3,107.03
Super built-up Area,Immediate Possession,Pune,4 BHK,Skyline View,3721.68,1,2,309.89
Plot Area,Ready To Move,Hyderabad,2 RK,Palm Meadows,663.23,3,1,238.98
Super built-up Area,Under Construction,Hyderabad,4 BHK,Oceanic Towers,4151.51,3,1,94.16
Plot Area,Under Construction,Bangalore,2 BHK,Sunrise Residency,3010.5,1,1,245.71
Super built-up Area,Ready To Move,Mumbai,1 RK,Green Heights,1742.31,4,2,215.44
Built-up Area,Ready To Move,Kolkata,4 BHK,Sunrise Residency,4273.59,3,2,321.72
Carpet Area,Immediate Possession,Mumbai,4 BHK,Oceanic Towers,788.66,1,1,244.9
Built-up Area,Ready To Move,Kolkata,3 BHK,Sunrise Residency,1971.3,2,0,98.47
Plot Area,Ready To Move,Kolkata,2 BHK,Skyline View,2170.32,2,0,117.55
Super built-up Area,Under Construction,Hyderabad,4 BHK,Skyline View,2079.75,3,2,143.84
Built-up Area,Ready To Move,Delhi,3 BHK,Oceanic Towers,4339.91,4,3,84.7
Carpet Area,Under Construction,Ahmedabad,2 RK,Palm Meadows,1276.89,1,1,131.01
Built-up Area,Ready To Move,Chennai,2 BHK,Oceanic Towers,1976.22,3,0,270.35
Carpet Area,Ready To Move,Bangalore,4 BHK,Palm Meadows,2746.79,2,1,222.41
Built-up Area,Under Construction,Hyderabad,2 BHK,Oceanic Towers,2692.08,3,2,438.29
Carpet Area,Under Construction,Chennai,4 BHK,Luxury Enclave,1961.13,3,0,291.88
Plot Area,Ready To Move,Bangalore,2 RK,Palm Meadows,1040.08,2,1,449.95
Super built-up Area,Immediate Possession,Delhi,4 BHK,Dream Homes,767.63,3,2,440.29
Super built-up Area,Under Construction,Kolkata,2 BHK,Green Heights,2487.95,3,0,40.25
Super built-up Area,Ready To Move,Mumbai,1 BHK,Skyline View,688.69,3,1,391.54
Super built-up Area,Ready To Move,Delhi,4 BHK,Luxury Enclave,4740.13,4,1,132.18
Super built-up Area,Immediate Possession,Delhi,2 BHK,Oceanic Towers,2818.76,2,3,192.5
Built-up Area,Ready To Move,Bangalore,1 RK,Luxury Enclave,2643.0,3,1,109.68
Super built-up Area,Ready To Move,Kolkata,3 BHK,Oceanic Towers,4944.35,1,0,418.23
Built-up Area,Ready To Move,Pune,3 BHK,Luxury Enclave,3528.98,1,3,12.67
Super built-up Area,Immediate Possession,Mumbai,2 RK,Skyline View,3496.16,3,0,145.89
Carpet Area,Immediate Possession,Hyderabad,1 RK,Oceanic Towers,1533.49,2,1,167.49
Super built-up Area,Ready To Move,Ahmedabad,2 BHK,Oceanic Towers,2097.41,2,2,450.13
Super built-up Area,Under Construction,Mumbai,1 RK,Dream Homes,3571.37,4,3,282.89
Built-up Area,Under Construction,Delhi,1 RK,Palm Meadows,4094.93,2,3,322.3
Super built-up Area,Under Construction,Ahmedabad,3 BHK,Dream Homes,2599.72,1,0,431.26
Plot Area,Ready To Move,Kolkata,2 RK,Palm Meadows,3829.44,3,0,248.49
Built-up Area,Immediate Possession,Pune,2 BHK,Palm Meadows,3803.61,4,1,154.27
Super built-up Area,Under Construction,Pune,1 BHK,Palm Meadows,346.84,4,0,125.15
Carpet Area,Immediate Possession,Mumbai,1 BHK,Sunrise Residency,1977.73,1,3,108.81
Super built-up Area,Under Construction,Pune,4 BHK,Skyline View,1481.66,1,2,362.1
Carpet Area,Immediate Possession,Ahmedabad,1 BHK,Luxury Enclave,1245.01,1,2,72.31
Plot Area,Ready To Move,Bangalore,1 BHK,Oceanic Towers,1091.86,1,2,430.0
Super built-up Area,Immediate Possession,Hyderabad,1 BHK,Skyline View,529.86,4,3,302.73
Carpet Area,Ready To Move,Mumbai,3 BHK,Sunrise Residency,3504.48,1,2,12.33
Carpet Area,Ready To Move,Delhi,4 BHK,Oceanic Towers,3811.86,3,3,237.94
Carpet Area,Ready To Move,Delhi,4 BHK,Luxury Enclave,2079.88,1,2,383.29
Built-up Area,Under Construction,Delhi,4 BHK,Green Heights,4955.79,2,1,472.38
Plot Area,Under Construction,Pune,3 BHK,Palm Meadows,3776.33,1,3,386.93
Super built-up Area,Ready To Move,Bangalore,3 BHK,Sunrise Residency,4889.33,4,2,278.69
Super built-up Area,Under Construction,Kolkata,2 RK,Oceanic Towers,2849.36,2,1,122.81
Carpet Area,Under Construction,Pune,1 RK,Palm Meadows,1518.56,1,3,200.57
Carpet Area,Ready To Move,Mumbai,3 BHK,Green Heights,1561.53,1,1,29.77
Super built-up Area,Under Construction,Chennai,4 BHK,Luxury Enclave,4390.23,3,0,401.32
Plot Area,Under Construction,Mumbai,2 BHK,Dream Homes,2035.24,1,0,357.0
Carpet Area,Under Construction,Ahmedabad,1 BHK,Green Heights,4304.1,4,2,408.98
Super built-up Area,Ready To Move,Kolkata,2 RK,Green Heights,515.43,2,3,442.66
Built-up Area,Immediate Possession,Kolkata,3 BHK,Luxury Enclave,3728.41,3,3,87.77
Carpet Area,Immediate Possession,Mumbai,1 BHK,Sunrise Residency,1605.92,1,3,418.68
Carpet Area,Ready To Move,Delhi,2 RK,Sunrise Residency,3345.04,1,3,399.92
Super built-up Area,Under Construction,Bangalore,3 BHK,Green Heights,468.4,4,1,186.74
Plot Area,Immediate Possession,Delhi,1 RK,Palm Meadows,4070.2,2,1,462.71
Built-up Area,Ready To Move,Pune,1 BHK,Green Heights,2166.1,3,3,46.06
Plot Area,Under Construction,Kolkata,2 BHK,Luxury Enclave,3034.13,1,3,381.54
Plot Area,Under Construction,Bangalore,1 RK,Luxury Enclave,677.83,3,2,360.02
Built-up Area,Under Construction,Hyderabad,3 BHK,Dream Homes,3772.64,1,1,189.84
Plot Area,Under Construction,Ahmedabad,4 BHK,Luxury Enclave,1857.63,4,3,412.71
Built-up Area,Immediate Possession,Bangalore,2 RK,Luxury Enclave,532.65,3,3,120.56
Built-up Area,Ready To Move,Delhi,1 RK,Sunrise Residency,1891.69,1,0,39.37
Carpet Area,Under Construction,Ahmedabad,1 RK,Luxury Enclave,448.57,4,2,380.69
Plot Area,Ready To Move,Delhi,1 RK,Oceanic Towers,2802.78,2,2,250.18
Carpet Area,Immediate Possession,Pune,3 BHK,Sunrise Residency,2140.56,4,0,305.14
Carpet Area,Ready To Move,Mumbai,4 BHK,Oceanic Towers,2984.83,1,0,345.06
Plot Area,Ready To Move,Hyderabad,2 BHK,Oceanic Towers,2007.99,1,1,242.7
Plot Area,Under Construction,Hyderabad,3 BHK,Palm Meadows,4923.82,1,3,458.0
Plot Area,Ready To Move,Ahmedabad,3 BHK,Dream Homes,3060.63,1,1,109.68
Built-up Area,Immediate Possession,Ahmedabad,3 BHK,Dream Homes,722.17,3,0,448.38
Super built-up Area,Ready To Move,Chennai,1 RK,Palm Meadows,2901.7,1,2,73.43
Super built-up Area,Ready To Move,Mumbai,1 BHK,Sunrise Residency,2647.03,2,0,198.65
Built-up Area,Ready To Move,Hyderabad,1 RK,Green Heights,3746.21,4,3,200.98
Built-up Area,Immediate Possession,Delhi,3 BHK,Luxury Enclave,2883.64,4,1,156.54
Super built-up Area,Under Construction,Mumbai,3 BHK,Palm Meadows,4877.03,4,0,154.11
Plot Area,Ready To Move,Ahmedabad,1 BHK,Oceanic Towers,879.6,4,3,392.17
